Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),7.5 sec ,14.148
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),7.9 sec ,14.97
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),9.9 sec ,16.441
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),9.3 sec ,15.711
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),11.9 sec ,17.547
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),11.9 sec ,17.547
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),12.3 sec ,17.357
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab,not known
Ford,Mustang,Mustang Convertible VII,not known
Ford,Mustang,Mustang Convertible VII,not known
Ford,Mustang,Mustang Convertible VII,not known
Ford,Mustang,Mustang Convertible VII,not known
Ford,Figo,Figo II,12 sec ,not known
Ford,Figo,Figo II,11.8 sec ,not known
Ford,Figo,Figo II,12.1 sec ,not known
Ford,Figo,Figo II,not known
Ford,Edge,Edge L III,15.35
Ford,Edge,Edge L III,15.099
Ford,Edge,Edge L III,14.97
Ford,Edge,Edge L III,14.773
Ford,Edge,Edge L III,15.035
Ford,Thunderbird,Thunderbird (Aero Birds),not known
Ford,Thunderbird,Thunderbird (Aero Birds),not known
Ford,Thunderbird,Thunderbird (Aero Birds),not known
Ford,Explorer,Explorer V,not known
Ford,Explorer,Explorer V,not known
Ford,Edge,Edge II (facelift 2018),13.852
Ford,Edge,Edge II (facelift 2018),14.905
Ford,Edge,Edge II (facelift 2018),14.707
Ford,Edge,Edge II (facelift 2018),9.6 sec ,15.532
Ford,Edge,Edge II (facelift 2018),10.4 sec ,16.495
Ford,Edge,Edge II (facelift 2018),11.2 sec ,17.78
Ford,EcoSport,EcoSport II,14 sec ,18.444
Ford,EcoSport,EcoSport II,14.1 sec ,17.547
Ford,EcoSport,EcoSport II,13.3 sec ,17.405
Ford,EcoSport,EcoSport II,14 sec ,18.861
Ford,EcoSport,EcoSport II,11.8 sec ,15.828
Ford,EcoSport,EcoSport II,12.7 sec ,16.758
Ford,EcoSport,EcoSport I (facelift 2007),15.532
Ford,EcoSport,EcoSport I (facelift 2007),15.885
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,F-Series F-100/F-150,F-Series F-100 VI Regular Cab,not known
Ford,Mondeo,Mondeo IV Hatchback,7.9 sec ,14.707
