Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Peugeot,406,"406 (Phase I, 1995)",12.5 sec ,17.826
Peugeot,406,"406 (Phase I, 1995)",10.3 sec ,16.112
Peugeot,406,"406 (Phase I, 1995)",11 sec ,16.333
Peugeot,406,"406 (Phase I, 1995)",not known
Peugeot,406,"406 (Phase I, 1995)",12 sec ,not known
Peugeot,406,"406 (Phase I, 1995)",17.112
Peugeot,406,"406 (Phase I, 1995)",18.228
Peugeot,406,"406 (Phase I, 1995)",15.7 sec ,18.655
Porsche,911,"911 Targa (996, facelift 2001)",5.7 sec ,12.699
Porsche,911,"911 Targa (996, facelift 2001)",5.2 sec ,12.516
Peugeot,e-LEGEND,e-LEGEND Concept,<4 sec ,not known
Peugeot,504,504 Break,not known
Peugeot,504,504 Break,not known
Peugeot,504,504 Break,not known
Peugeot,504,504 Break,not known
Peugeot,RCZ,RCZ,8.2 sec ,15.411
Peugeot,RCZ,RCZ,7.5 sec ,14.148
Peugeot,RCZ,RCZ,8.4 sec ,15.35
Peugeot,RCZ,RCZ,8 sec ,15.288
Peugeot,204,204 Break,not known
Peugeot,204,204 Break,not known
Peugeot,204,204 Break,not known
Porsche,718,718 Cayman (982),4.7-4.9 sec ,12.608
Porsche,718,718 Cayman (982),4.7 sec ,12.608
Porsche,718,718 Cayman (982),5.1 sec ,12.516
Porsche,718,718 Cayman (982),4.2-4.4 sec ,12.034
Porsche,718,718 Cayman (982),4.2-4.4 sec ,12.034
Porsche,718,718 Cayman (982),4.4 sec ,12.034
Porsche,718,718 Cayman (982),4.6 sec ,11.933
Porsche,718,718 Cayman (982),4.9 sec ,11.933
Porsche,718,718 Cayman (982),4.6 sec ,11.933
Porsche,718,718 Cayman (982),4.0 sec ,11.619
Porsche,718,718 Cayman (982),4.5 sec ,11.51
Porsche,718,718 Cayman (982),4.5 sec ,11.51
Porsche,718,718 Cayman (982),4.1-4.3 sec ,11.83
Porsche,718,718 Cayman (982),4.3 sec ,11.83
Porsche,718,718 Cayman (982),4.9 sec ,11.83
Porsche,718,718 Cayman (982),4.6 sec ,11.83
Porsche,718,718 Cayman (982),3.4 sec ,10.934
Porsche,718,718 Cayman (982),11.054
Porsche,718,718 Cayman (982),3.9 sec ,11.51
Porsche,718,718 Cayman (982),4.4 sec ,11.4
Porsche,718,718 Cayman (982),4.7-4.9 sec ,12.608
Porsche,718,718 Cayman (982),4.7-4.9 sec ,12.608
Porsche,718,718 Cayman (982),4.9 sec ,12.608
Porsche,718,718 Cayman (982),5.3 sec ,12.516
Porsche,718,718 Cayman (982),5.1 sec ,12.516
Peugeot,205,"205 I (20A/C, facelift 1987)",8.5 sec ,14.707
Peugeot,205,"205 I (20A/C, facelift 1987)",8.5 sec ,14.707
Peugeot,205,"205 I (20A/C, facelift 1987)",9.5 sec ,15.532
Peugeot,205,"205 I (20A/C, facelift 1987)",14.2 sec ,18.184
Peugeot,205,"205 I (20A/C, facelift 1987)",12.2 sec ,17.308
Peugeot,205,"205 I (20A/C, facelift 1987)",15.1 sec ,18.655
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",13.6 sec ,16.279
Peugeot,205,"205 I (20A/C, facelift 1987)",9.1 sec ,14.84
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",10.6 sec ,16.809
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",9.6 sec ,15.035
Peugeot,205,"205 I (20A/C, facelift 1987)",13.9 sec ,17.734
Peugeot,205,"205 I (20A/C, facelift 1987)",14.6 sec ,18.358
Peugeot,205,"205 I (20A/C, facelift 1987)",not known
Peugeot,205,"205 I (20A/C, facelift 1987)",17.9 sec ,18.779
Peugeot,205,"205 I (20A/C, facelift 1987)",18.8 sec ,19.455
Pagani,Zonda,Zonda Roadster F,3.6 sec ,9.39
Peugeot,308,"308 I (Phase I, 2007)",10.6 sec ,16.962
Peugeot,308,"308 I (Phase I, 2007)",10.6 sec ,16.911
Peugeot,308,"308 I (Phase I, 2007)",10.1 sec ,16.86
Peugeot,308,"308 I (Phase I, 2007)",10.1 sec ,16.809
Peugeot,308,"308 I (Phase I, 2007)",11.3 sec ,17.688
Peugeot,308,"308 I (Phase I, 2007)",11.3 sec ,17.405
Peugeot,308,"308 I (Phase I, 2007)",13 sec ,18.902
Peugeot,308,"308 I (Phase I, 2007)",13 sec ,18.861
Peugeot,308,"308 I (Phase I, 2007)",8.3 sec ,15.162
Peugeot,308,"308 I (Phase I, 2007)",10.2 sec ,16.056
Peugeot,308,"308 I (Phase I, 2007)",10.2 sec ,16.056
Peugeot,308,"308 I (Phase I, 2007)",8.8 sec ,15.943
Peugeot,308,"308 I (Phase I, 2007)",8.8 sec ,15.943
Peugeot,308,"308 I (Phase I, 2007)",13 sec ,17.162
Peugeot,308,"308 I (Phase I, 2007)",13 sec ,17.112
Peugeot,308,"308 I (Phase I, 2007)",10.8 sec ,17.062
Peugeot,308,"308 I (Phase I, 2007)",10.8 sec ,17.012
Peugeot,308,"308 I (Phase I, 2007)",12.7 sec ,18.358
Peugeot,308,"308 I (Phase I, 2007)",12.7 sec ,18.315
Peugeot,508,"508 II SW (Phase II, 2023)",5.2 sec ,13.218
Peugeot,508,"508 II SW (Phase II, 2023)",8 sec ,15.099
Peugeot,508,"508 II SW (Phase II, 2023)",16.224
Peugeot,508,"508 II SW (Phase II, 2023)",11.4 sec ,17.162
Peugeot,508,"508 II SW (Phase II, 2023)",10.1 sec ,16.962
Peugeot,5008,"5008 I (Phase I, 2009)",10.5 sec ,16.279
Peugeot,5008,"5008 I (Phase I, 2009)",10.4 sec ,16.168
Peugeot,5008,"5008 I (Phase I, 2009)",10 sec ,16.653
Peugeot,5008,"5008 I (Phase I, 2009)",9.9 sec ,16.548
Peugeot,5008,"5008 I (Phase I, 2009)",12.3 sec ,17.308
Peugeot,5008,"5008 I (Phase I, 2009)",12.2 sec ,17.211
Peugeot,5008,"5008 I (Phase I, 2009)",9.9 sec ,16.279
Peugeot,5008,"5008 I (Phase I, 2009)",9.8 sec ,16.168
Peugeot,5008,"5008 I (Phase I, 2009)",9.7 sec ,16.112
Peugeot,5008,"5008 I (Phase I, 2009)",9.6 sec ,16.0
Peugeot,5008,"5008 I (Phase I, 2009)",12.9 sec ,18.007
Peugeot,5008,"5008 I (Phase I, 2009)",12.3 sec ,17.871
Peugeot,5008,"5008 I (Phase I, 2009)",14.5 sec ,18.007
Peugeot,5008,"5008 I (Phase I, 2009)",14.5 sec ,17.917
Porsche,911,911 Coupe (F),6.3 sec ,13.049
Porsche,911,911 Coupe (F),14.905
Porsche,911,911 Coupe (F),9.5 sec ,15.225
Porsche,911,911 Coupe (F),not known
Porsche,911,911 Coupe (F),7 sec ,13.542
Porsche,911,911 Coupe (F),7.9 sec ,14.148
Porsche,911,911 Coupe (F),7.9 sec ,14.148
Porsche,911,911 Coupe (F),10 sec ,15.288
Porsche,911,911 Coupe (F),7.5 sec ,13.542
Porsche,911,911 Coupe (F),8 sec ,14.221
Porsche,911,911 Coupe (F),15.943
Porsche,911,911 Coupe (F),14.002
Porsche,911,911 Coupe (F),14.292
Porsche,911,911 Coupe (F),15.35
Porsche,911,911 Coupe (F),14.707
Porsche,911,911 Coupe (F),15.35
Peugeot,Landtrek,Landtrek Simple Cab,11.2 sec ,16.168
Peugeot,Landtrek,Landtrek Simple Cab,13 sec ,16.224
Peugeot,Landtrek,Landtrek Simple Cab,12.2 sec ,15.943
Peugeot,Landtrek,Landtrek Simple Cab,15.8 sec ,18.14
Peugeot,Landtrek,Landtrek Simple Cab,14.9 sec ,17.826
Porsche,Macan,Macan (facelift 2018),4.5 sec ,12.423
Porsche,Macan,Macan (facelift 2018),5.3 sec ,13.218
Porsche,Macan,Macan (facelift 2018),4.7-4.9 sec ,12.964
Porsche,Macan,Macan (facelift 2018),14.571
Porsche,Macan,Macan (facelift 2018),6.7 sec ,14.707
Porsche,Cayenne,"Cayenne (955, facelift 2007)",4.8 sec ,12.328
Porsche,Cayenne,"Cayenne (955, facelift 2007)",5.1 sec ,12.699
Porsche,Cayenne,"Cayenne (955, facelift 2007)",6.8 sec ,13.621
Porsche,Cayenne,"Cayenne (955, facelift 2007)",6.6 sec ,13.621
Porsche,Cayenne,"Cayenne (955, facelift 2007)",6.5 sec ,13.382
Porsche,Cayenne,"Cayenne (955, facelift 2007)",6.1 sec ,13.382
Porsche,Cayenne,"Cayenne (955, facelift 2007)",8.3 sec ,15.943
Porsche,Cayenne,"Cayenne (955, facelift 2007)",8.5 sec ,14.84
Porsche,Cayenne,"Cayenne (955, facelift 2007)",8.1 sec ,14.773
Peugeot,3008,"3008 I (Phase II, 2013)",9.2 sec ,15.35
Peugeot,3008,"3008 I (Phase II, 2013)",10.2 sec ,16.0
Peugeot,3008,"3008 I (Phase II, 2013)",9.7 sec ,16.441
Peugeot,3008,"3008 I (Phase II, 2013)",16.962
Peugeot,3008,"3008 I (Phase II, 2013)",9.7 sec ,16.441
Peugeot,3008,"3008 I (Phase II, 2013)",not known
Peugeot,3008,"3008 I (Phase II, 2013)",11.8 sec ,17.211
Peugeot,3008,"3008 I (Phase II, 2013)",9.6 sec ,15.652
Peugeot,3008,"3008 I (Phase II, 2013)",9.5 sec ,16.056
Peugeot,3008,"3008 I (Phase II, 2013)",8.9 sec ,16.0
Peugeot,3008,"3008 I (Phase II, 2013)",12.6 sec ,17.547
Peugeot,3008,"3008 I (Phase II, 2013)",12.2 sec ,17.547
Peugeot,3008,"3008 I (Phase II, 2013)",12 sec ,17.26
Peugeot,3008,"3008 I (Phase II, 2013)",12.4 sec ,17.5
Peugeot,3008,"3008 I (Phase II, 2013)",10.8 sec ,16.758
Peugeot,306,306 Sedan (facelift 1997),11.5 sec ,15.828
Peugeot,306,306 Sedan (facelift 1997),13 sec ,17.78
Peugeot,306,306 Sedan (facelift 1997),17.3 sec ,19.063
Peugeot,306,306 Sedan (facelift 1997),12.2 sec ,16.333
Peugeot,306,306 Sedan (facelift 1997),10.6 sec ,16.962
Peugeot,306,306 Sedan (facelift 1997),14.1 sec ,17.688
Peugeot,306,306 Sedan (facelift 1997),13.9 sec ,17.594
Peugeot,306,306 Sedan (facelift 1997),14.9 sec ,18.228
Porsche,911,911 Coupe (G),6.1 sec ,13.134
Porsche,911,911 Coupe (G),6.3 sec ,13.463
Porsche,911,911 Coupe (G),6.5 sec ,13.621
Porsche,911,911 Coupe (G),6.8 sec ,13.542
Porsche,911,911 Coupe (G),7 sec ,13.927
Porsche,911,911 Coupe (G),7 sec ,14.075
Porsche,911,911 Coupe (G),6.5 sec ,13.463
Porsche,911,911 Coupe (G),7.6 sec ,13.852
Porsche,911,911 Coupe (G),6.3 sec ,13.049
Porsche,911,911 Coupe (G),14.292
Porsche,911,911 Coupe (G),8.5 sec ,14.707
Peugeot,308,"308 SW II (Phase I, 2013)",8.6 sec ,15.099
Peugeot,308,"308 SW II (Phase I, 2013)",7.6 sec ,14.075
Peugeot,308,"308 SW II (Phase I, 2013)",8.9 sec ,16.056
Peugeot,308,"308 SW II (Phase I, 2013)",8.9 sec ,15.652
Peugeot,308,"308 SW II (Phase I, 2013)",12.2 sec ,15.943
Peugeot,308,"308 SW II (Phase I, 2013)",11.9 sec ,17.734
Peugeot,308,"308 SW II (Phase I, 2013)",12.5 sec ,17.688
Peugeot,308,"308 SW II (Phase I, 2013)",9.9 sec ,16.809
Peugeot,308,"308 SW II (Phase I, 2013)",10.1 sec ,16.758
Peugeot,308,"308 SW II (Phase I, 2013)",13.5 sec ,18.529
Peugeot,308,"308 SW II (Phase I, 2013)",10.1 sec ,15.652
Peugeot,308,"308 SW II (Phase I, 2013)",10.6 sec ,15.885
Peugeot,308,"308 SW II (Phase I, 2013)",11.6 sec ,16.758
Peugeot,107,"107 (Phase III, 2012) 5-door",14 sec ,17.594
Peugeot,107,"107 (Phase III, 2012) 5-door",13.7 sec ,17.452
Peugeot,107,"107 (Phase I, 2005) 5-door",19.3
Peugeot,107,"107 (Phase I, 2005) 5-door",17.547
Peugeot,107,"107 (Phase I, 2005) 5-door",17.26
Peugeot,508,"508 II SW (Phase I, 2018)",5.2 sec ,13.134
Peugeot,508,"508 II SW (Phase I, 2018)",7.4 sec ,14.075
Peugeot,508,"508 II SW (Phase I, 2018)",8.4 sec ,15.532
Peugeot,508,"508 II SW (Phase I, 2018)",8.5 sec ,16.112
Peugeot,508,"508 II SW (Phase I, 2018)",8.2 sec ,15.035
Peugeot,508,"508 II SW (Phase I, 2018)",8 sec ,15.099
Peugeot,508,"508 II SW (Phase I, 2018)",10.1 sec ,16.86
Peugeot,508,"508 II SW (Phase I, 2018)",9.9 sec ,16.86
Porsche,911,911 Cabriolet (G),6.1 sec ,not known
Porsche,911,911 Cabriolet (G),13.542
Porsche,911,911 Cabriolet (G),6.5 sec ,13.776
Porsche,911,911 Cabriolet (G),not known
Porsche,Carrera GT,Carrera GT,3.9 sec ,10.007
Porsche,911,"911 Cabriolet (996, facelift 2001)",4.9 sec ,not known
Porsche,911,"911 Cabriolet (996, facelift 2001)",4.3 sec ,not known
Porsche,911,"911 Cabriolet (996, facelift 2001)",5.9 sec ,13.049
Porsche,911,"911 Cabriolet (996, facelift 2001)",5.3 sec ,12.877
Porsche,911,"911 Cabriolet (996, facelift 2001)",5.7 sec ,12.877
Porsche,911,"911 Cabriolet (996, facelift 2001)",5.2 sec ,12.699
Porsche,911,"911 Cabriolet (996, facelift 2001)",5.7 sec ,12.699
Porsche,911,"911 Cabriolet (996, facelift 2001)",5.2 sec ,12.516
Porsche,Taycan,Taycan Cross Turismo (Y1A),2.9 sec ,10.934
Porsche,Taycan,Taycan Cross Turismo (Y1A),3.3 sec ,11.4
Porsche,Taycan,Taycan Cross Turismo (Y1A),4.1 sec ,11.933
Porsche,Taycan,Taycan Cross Turismo (Y1A),5.1 sec ,12.699
Porsche,Cayenne,Cayenne III Coupe,3.3 sec ,11.51
Porsche,Cayenne,Cayenne III Coupe,3.8 sec ,11.726
Porsche,Cayenne,Cayenne III Coupe,3.8 sec ,11.726
Porsche,Cayenne,Cayenne III Coupe,3.9 sec ,12.034
Porsche,Cayenne,Cayenne III Coupe,5 sec ,12.699
Porsche,Cayenne,Cayenne III Coupe,4.5 sec ,12.699
Porsche,Cayenne,Cayenne III Coupe,5.1 sec ,13.049
Porsche,Cayenne,Cayenne III Coupe,5.1 sec ,13.049
Porsche,Cayenne,Cayenne III Coupe,6 sec ,13.776
Peugeot,108,108 TOP! Cabrio,15.2 sec ,not known
Peugeot,108,108 TOP! Cabrio,13.8 sec ,17.308
Peugeot,405,"405 I Break (15E, facelift 1992)",not known
Peugeot,405,"405 I Break (15E, facelift 1992)",11.8 sec ,16.0
Peugeot,405,"405 I Break (15E, facelift 1992)",13.2 sec ,17.871
Peugeot,405,"405 I Break (15E, facelift 1992)",18.6 sec ,18.983
Peugeot,405,"405 I Break (15E, facelift 1992)",not known
Peugeot,405,"405 I Break (15E, facelift 1992)",12.4 sec ,16.86
Peugeot,405,"405 I Break (15E, facelift 1992)",14.1 sec ,17.452
Peugeot,107,"107 (Phase II, 2008) 3-door",14 sec ,17.547
Peugeot,107,"107 (Phase II, 2008) 3-door",14 sec ,17.452
Peugeot,107,"107 (Phase II, 2008) 3-door",13.7 sec ,17.405
Peugeot,107,"107 (Phase II, 2008) 3-door",13.7 sec ,17.26
Peugeot,308,"308 SW I (Phase I, 2008)",not known
Porsche,911,911 (997),3.7 sec ,11.4
Porsche,911,911 (997),3.9 sec ,11.287
Porsche,911,911 (997),4.2 sec ,11.287
Porsche,911,911 (997),4.3 sec ,11.4
Porsche,911,911 (997),3.7 sec ,10.557
Porsche,911,911 (997),5.3 sec ,12.134
Porsche,911,911 (997),4.8 sec ,12.034
Porsche,911,911 (997),5.3 sec ,12.328
Porsche,911,911 (997),4.8 sec ,12.232
Porsche,911,911 (997),5.6 sec ,12.608
Porsche,911,911 (997),5.1 sec ,12.516
Porsche,911,911 (997),5.5 sec ,12.608
Porsche,911,911 (997),5 sec ,12.328
Peugeot,205,205 I (741A/C),not known
Peugeot,205,205 I (741A/C),15.1 sec ,18.401
Peugeot,205,205 I (741A/C),13.6 sec ,16.548
Peugeot,205,205 I (741A/C),not known
Peugeot,205,205 I (741A/C),11.6 sec ,16.387
Peugeot,205,205 I (741A/C),not known
Peugeot,205,205 I (741A/C),14.8 sec ,17.871
Peugeot,205,205 I (741A/C),not known
Peugeot,205,205 I (741A/C),17 sec ,18.738
Peugeot,205,205 I (741A/C),18.8 sec ,19.261
Porsche,911,911 Cabriolet (996),6.2 sec ,not known
Porsche,911,911 Cabriolet (996),5.4 sec ,12.788
Porsche,911,911 Cabriolet (996),6.2 sec ,12.788
Porsche,911,911 Cabriolet (996),5.4 sec ,12.699
Porsche,718,718 Boxster (982),4.7-4.9 sec ,12.608
Porsche,718,718 Boxster (982),4.7 sec ,12.608
Porsche,718,718 Boxster (982),5.1 sec ,12.516
Porsche,718,718 Boxster (982),4.2-4.4 sec ,12.034
Porsche,718,718 Boxster (982),4.2-4.4 sec ,12.034
Porsche,718,718 Boxster (982),4.4 sec ,12.034
Porsche,718,718 Boxster (982),4.6 sec ,11.933
Porsche,718,718 Boxster (982),4.9 sec ,11.933
Porsche,718,718 Boxster (982),4.6 sec ,11.933
Porsche,718,718 Boxster (982),4.0 sec ,11.619
Porsche,718,718 Boxster (982),4.5 sec ,11.51
Porsche,718,718 Boxster (982),4.5 sec ,11.51
Porsche,718,718 Boxster (982),4.1-4.3 sec ,11.83
Porsche,718,718 Boxster (982),4.3 sec ,11.83
Porsche,718,718 Boxster (982),4.9 sec ,11.83
Porsche,718,718 Boxster (982),4.6 sec ,11.83
Porsche,718,718 Boxster (982),4.7-4.9 sec ,12.608
Porsche,718,718 Boxster (982),4.7-4.9 sec ,12.608
Porsche,718,718 Boxster (982),4.9 sec ,12.608
Porsche,718,718 Boxster (982),5.3 sec ,12.516
Porsche,718,718 Boxster (982),5.1 sec ,12.516
Peugeot,308,"308 II (Phase I, 2013)",6 sec ,12.516
Peugeot,308,"308 II (Phase I, 2013)",6.2 sec ,12.788
Peugeot,308,"308 II (Phase I, 2013)",8.4 sec ,14.707
Peugeot,308,"308 II (Phase I, 2013)",7.5 sec ,13.699
Peugeot,308,"308 II (Phase I, 2013)",8.6 sec ,15.592
Peugeot,308,"308 II (Phase I, 2013)",8.6 sec ,15.532
Peugeot,308,"308 II (Phase I, 2013)",8.6 sec ,15.592
Peugeot,308,"308 II (Phase I, 2013)",8.6 sec ,15.532
Peugeot,308,"308 II (Phase I, 2013)",8 sec ,14.84
Peugeot,308,"308 II (Phase I, 2013)",8.9 sec ,15.943
Peugeot,308,"308 II (Phase I, 2013)",11.3 sec ,17.26
Peugeot,308,"308 II (Phase I, 2013)",10.2 sec ,16.387
Peugeot,308,"308 II (Phase I, 2013)",9.5 sec ,16.333
Peugeot,308,"308 II (Phase I, 2013)",9.7 sec ,16.279
Peugeot,308,"308 II (Phase I, 2013)",12.8 sec ,18.272
Peugeot,308,"308 II (Phase I, 2013)",13.3 sec ,17.871
Peugeot,308,"308 II (Phase I, 2013)",9.1 sec ,15.652
Peugeot,308,"308 II (Phase I, 2013)",9.6 sec ,15.411
Peugeot,308,"308 II (Phase I, 2013)",11.1 sec ,16.224
Peugeot,Partner,"Partner I (Phase II, 2002)",15.6 sec ,18.529
Peugeot,Partner,"Partner I (Phase II, 2002)",20.4 sec ,19.978
Peugeot,Partner,"Partner I (Phase II, 2002)",12.5 sec ,18.943
Peugeot,Partner,"Partner I (Phase II, 2002)",17.8 sec ,19.455
Peugeot,Partner,"Partner I (Phase II, 2002)",13.1 sec ,17.112
Peugeot,Partner,"Partner I (Phase II, 2002)",17.5 sec ,19.063
Peugeot,306,306 Sedan (7B),11.2 sec ,16.056
Peugeot,306,306 Sedan (7B),not known
Peugeot,306,306 Sedan (7B),not known
Peugeot,306,306 Sedan (7B),12.4 sec ,17.688
Peugeot,306,306 Sedan (7B),17.5 sec ,19.183
Peugeot,306,306 Sedan (7B),not known
Peugeot,306,306 Sedan (7B),12.2 sec ,16.809
Peugeot,306,306 Sedan (7B),12.2 sec ,16.809
Peugeot,306,306 Sedan (7B),12.9 sec ,17.405
Peugeot,306,306 Sedan (7B),14.9 sec ,18.228
Peugeot,306,306 Sedan (7B),not known
Porsche,911,911 Targa (997),5.4 sec ,12.423
Porsche,911,911 Targa (997),4.9 sec ,12.328
Porsche,911,911 Targa (997),5.8 sec ,12.788
Porsche,911,911 Targa (997),5.3 sec ,12.608
Peugeot,407,407 Coupe,8.7 sec ,15.162
Peugeot,407,407 Coupe,8.4 sec ,15.162
Peugeot,407,407 Coupe,8.5 sec ,15.411
Peugeot,407,407 Coupe,9.2 sec ,16.333
Pagani,Zonda,Zonda Roadster,3.7 sec ,10.007
Porsche,914,914,12 sec ,17.26
Porsche,914,914,15.472
Porsche,914,914,13.5 sec ,18.052
Porsche,914,914,16.548
Peugeot,406,"406 (Phase II, 1999)",9.7 sec ,14.502
Peugeot,406,"406 (Phase II, 1999)",8.1 sec ,14.502
Peugeot,406,"406 (Phase II, 1999)",11 sec ,16.653
Peugeot,406,"406 (Phase II, 1999)",10 sec ,15.592
Peugeot,406,"406 (Phase II, 1999)",10.6 sec ,16.112
Peugeot,406,"406 (Phase II, 1999)",12.5 sec ,17.734
Peugeot,406,"406 (Phase II, 1999)",14.5 sec ,18.613
Peugeot,406,"406 (Phase II, 1999)",10 sec ,16.279
Peugeot,406,"406 (Phase II, 1999)",11.3 sec ,17.012
Porsche,911,911 RSR (991),10.15
Peugeot,407,407 SW,9.6 sec ,15.035
Peugeot,407,407 SW,12.7 sec ,16.224
Peugeot,407,407 SW,10.4 sec ,16.224
Peugeot,407,407 SW,9 sec ,16.495
Peugeot,407,407 SW,12.8 sec ,16.758
Peugeot,407,407 SW,10.8 sec ,16.758
Peugeot,407,407 SW,9.8 sec ,17.405
Peugeot,407,407 SW,13.5 sec ,17.594
Peugeot,407,407 SW,13.4 sec ,18.14
Porsche,911,911 Targa (Type 930),5.2 sec ,not known
Peugeot,508,"508 II (Phase II, 2023)",5.2 sec ,13.134
Peugeot,508,"508 II (Phase II, 2023)",7.9 sec ,14.97
Peugeot,508,"508 II (Phase II, 2023)",16.112
Peugeot,508,"508 II (Phase II, 2023)",11.1 sec ,17.062
Peugeot,508,"508 II (Phase II, 2023)",10 sec ,16.86
Pagani,Huayra,Huayra Imola,8.678
Peugeot,408,408 I,16.279
Peugeot,408,408 I,16.056
Peugeot,408,408 I,17.405
Peugeot,408,408 I,17.357
Porsche,Mission E,Mission E Cross Turismo Concept,3.5 sec ,not known
Peugeot,307,307 CC,9.4 sec ,15.411
Peugeot,307,307 CC,12.7 sec ,16.86
Peugeot,307,307 CC,10.9 sec ,16.706
Porsche,928,928,12.699
Porsche,928,928,5.7 sec ,12.608
Porsche,928,928,6.3 sec ,12.964
Porsche,928,928,not known
Porsche,928,928,13.301
Porsche,928,928,13.218
Porsche,928,928,6.7 sec ,13.301
Porsche,928,928,5.8 sec ,12.788
Porsche,928,928,6.7 sec ,12.964
Porsche,928,928,6.2 sec ,12.877
Porsche,928,928,12.964
Porsche,928,928,14.148
Porsche,928,928,8 sec ,14.075
Porsche,928,928,7.2 sec ,13.776
Porsche,928,928,7.7 sec ,14.363
Porsche,Boxster,Boxster (986),6.4 sec ,13.134
Porsche,Boxster,Boxster (986),5.7 sec ,13.049
Porsche,Boxster,Boxster (986),6.5 sec ,13.218
Porsche,Boxster,Boxster (986),5.9 sec ,13.049
Porsche,Boxster,Boxster (986),7.3 sec ,13.621
Porsche,Boxster,Boxster (986),6.4 sec ,13.463
Porsche,Boxster,Boxster (986),7.4 sec ,13.776
Porsche,Boxster,Boxster (986),6.6 sec ,13.542
Porsche,Boxster,Boxster (986),7.6 sec ,14.075
Porsche,Boxster,Boxster (986),6.9 sec ,13.852
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,305,305 II (581M),not known
Peugeot,309,"309 (3C,3A facelift 1989)",9.9 sec ,15.943
Peugeot,309,"309 (3C,3A facelift 1989)",9.9 sec ,15.943
Peugeot,309,"309 (3C,3A facelift 1989)",7.8 sec ,13.927
Peugeot,309,"309 (3C,3A facelift 1989)",8 sec ,14.363
Peugeot,309,"309 (3C,3A facelift 1989)",8 sec ,14.905
Peugeot,309,"309 (3C,3A facelift 1989)",8 sec ,15.035
Peugeot,309,"309 (3C,3A facelift 1989)",15.3 sec ,18.487
Peugeot,309,"309 (3C,3A facelift 1989)",9.8 sec ,15.35
Peugeot,309,"309 (3C,3A facelift 1989)",9.8 sec ,15.35
Peugeot,309,"309 (3C,3A facelift 1989)",not known
Peugeot,309,"309 (3C,3A facelift 1989)",13 sec ,17.688
Peugeot,309,"309 (3C,3A facelift 1989)",10.5 sec ,16.387
Peugeot,309,"309 (3C,3A facelift 1989)",10.5 sec ,16.387
Peugeot,309,"309 (3C,3A facelift 1989)",10.5 sec ,16.056
Peugeot,309,"309 (3C,3A facelift 1989)",10.5 sec ,16.056
Peugeot,309,"309 (3C,3A facelift 1989)",11.1 sec ,17.012
Peugeot,309,"309 (3C,3A facelift 1989)",13.1 sec ,17.688
Peugeot,309,"309 (3C,3A facelift 1989)",15.4 sec ,18.228
Porsche,911,911 Cabriolet (991 II),3 sec ,10.811
Porsche,911,911 Cabriolet (991 II),3.1 sec ,11.054
Porsche,911,911 Cabriolet (991 II),3.8 sec ,11.4
Porsche,911,911 Cabriolet (991 II),4.2 sec ,11.4
Porsche,911,911 Cabriolet (991 II),3.7 sec ,11.51
Porsche,911,911 Cabriolet (991 II),4.1 sec ,11.51
Porsche,911,911 Cabriolet (991 II),4.3 sec ,11.619
Porsche,911,911 Cabriolet (991 II),4.5 sec ,11.619
Porsche,911,911 Cabriolet (991 II),4.6 sec ,12.134
Porsche,911,911 Cabriolet (991 II),4.8 sec ,12.134
Peugeot,508,"508 II (Phase I, 2018)",5.2 sec ,13.049
Peugeot,508,"508 II (Phase I, 2018)",7.3-8.1 sec ,14.002
Peugeot,508,"508 II (Phase I, 2018)",8.3 sec ,15.472
Peugeot,508,"508 II (Phase I, 2018)",8.4 sec ,16.112
Peugeot,508,"508 II (Phase I, 2018)",8.1 sec ,14.905
Peugeot,508,"508 II (Phase I, 2018)",7.9-8.8 sec ,15.099
Peugeot,508,"508 II (Phase I, 2018)",10 sec ,16.809
Peugeot,508,"508 II (Phase I, 2018)",9.7 sec ,16.809
Peugeot,508,"508 II (Phase I, 2018)",10 sec ,16.706
Peugeot,807,807,11 sec ,15.532
Peugeot,807,807,13.6 sec ,17.78
Peugeot,807,807,11.6 sec ,16.548
Peugeot,807,807,14.6 sec ,19.103
Peugeot,807,807,14.4 sec ,17.26
Peugeot,807,807,12.2 sec ,17.26
