Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Porsche,Panamera,Panamera (G2),4.5 sec ,12.516
Porsche,Panamera,Panamera (G2),4.5 sec ,12.516
Porsche,Panamera,Panamera (G2),4.5 sec ,12.877
Porsche,Panamera,Panamera (G2),4.4 sec ,12.328
Porsche,Panamera,Panamera (G2),5.6 sec ,13.699
Porsche,Panamera,Panamera (G2),4.7 sec ,12.877
Porsche,Panamera,Panamera (G2),4.7 sec ,12.877
Porsche,Panamera,Panamera (G2),5.6 sec ,13.776
Porsche,Panamera,Panamera (G2),5.5 sec ,13.463
Porsche,Panamera,Panamera (G2),4.6 sec ,12.699
Porsche,Panamera,Panamera (G2),4.6 sec ,12.699
Porsche,Panamera,Panamera (G2),5.5 sec ,13.542
Porsche,Panamera,Panamera (G2),5.7 sec ,13.382
Peugeot,Rifter,Rifter Standard,11.7 sec ,17.547
Peugeot,Rifter,Rifter Standard,16.809
Peugeot,Rifter,Rifter Standard,16.809
Peugeot,Rifter,Rifter Standard,10.4 sec ,16.809
Peugeot,Rifter,Rifter Standard,14 sec ,18.272
Peugeot,Rifter,Rifter Standard,18.272
Peugeot,Rifter,Rifter Standard,20.123
Peugeot,Rifter,Rifter Standard,10.9 sec ,16.809
Peugeot,Rifter,Rifter Standard,17.641
Peugeot,Rifter,Rifter Standard,11.7 sec ,17.688
Porsche,Panamera,Panamera (G1 II),4.1 sec ,11.51
Porsche,Panamera,Panamera (G1 II),3.8 sec ,11.51
Porsche,Panamera,Panamera (G1 II),4.2 sec ,12.034
Porsche,Panamera,Panamera (G1 II),4.1 sec ,11.83
Porsche,Panamera,Panamera (G1 II),5.1 sec ,12.328
Porsche,Panamera,Panamera (G1 II),5.5 sec ,12.964
Porsche,Panamera,Panamera (G1 II),4.4 sec ,12.423
Porsche,Panamera,Panamera (G1 II),5 sec ,12.788
Porsche,Panamera,Panamera (G1 II),4.8 sec ,12.516
Porsche,Panamera,Panamera (G1 II),6.1 sec ,13.699
Porsche,Panamera,Panamera (G1 II),6.3 sec ,13.542
Porsche,Panamera,Panamera (G1 II),6 sec ,14.002
Peugeot,308,"308 SW III (Phase I, 2021)",7.6 sec ,14.84
Peugeot,308,"308 SW III (Phase I, 2021)",7.7 sec ,15.885
Peugeot,308,"308 SW III (Phase I, 2021)",16.758
Peugeot,308,"308 SW III (Phase I, 2021)",16.653
Peugeot,308,"308 SW III (Phase I, 2021)",16.495
Peugeot,308,"308 SW III (Phase I, 2021)",16.387
Peugeot,308,"308 SW III (Phase I, 2021)",17.26
Porsche,959,959,3.9 sec ,11.172
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",7.8 sec ,14.363
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",12.2 sec ,16.911
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",15.1 sec ,18.401
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",9.1 sec ,14.84
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",13.6 sec ,16.758
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",10.6 sec ,16.758
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",9.6 sec ,15.035
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",14.6 sec ,18.052
Peugeot,205,"205 I (20A/C, facelift 1987) 3-door",18.8 sec ,19.261
Porsche,Cayenne,Cayenne III (facelift 2023) Coupe,4.7 sec ,12.608
Porsche,Cayenne,Cayenne III (facelift 2023) Coupe,5.7 sec ,13.699
Porsche,Cayenne,Cayenne III (facelift 2023) Coupe,4.9 sec ,13.134
Porsche,Panamera,Panamera Sport Turismo (G2),3.4 sec ,11.51
Porsche,Panamera,Panamera Sport Turismo (G2),3.4 sec ,11.4
Porsche,Panamera,Panamera Sport Turismo (G2),3.8 sec ,11.726
Porsche,Panamera,Panamera Sport Turismo (G2),3.8 sec ,11.726
Porsche,Panamera,Panamera Sport Turismo (G2),4.1 sec ,12.423
Porsche,Panamera,Panamera Sport Turismo (G2),4.5 sec ,12.964
Porsche,Panamera,Panamera Sport Turismo (G2),4.4 sec ,12.423
Porsche,Panamera,Panamera Sport Turismo (G2),4.4 sec ,12.423
Porsche,Panamera,Panamera Sport Turismo (G2),4.4 sec ,12.699
Porsche,Panamera,Panamera Sport Turismo (G2),5.5 sec ,13.621
Porsche,Panamera,Panamera Sport Turismo (G2),5.3 sec ,13.542
Porsche,Panamera,Panamera Sport Turismo (G2),4.6 sec ,12.699
Peugeot,504,504 Coupe,not known
Peugeot,504,504 Coupe,not known
Peugeot,504,504 Coupe,not known
Peugeot,307,307,9.8 sec ,16.224
Peugeot,307,307,10.9 sec ,17.357
Peugeot,307,307,12.8 sec ,18.184
Peugeot,307,307,11 sec ,15.828
Peugeot,307,307,9.2 sec ,15.652
Peugeot,307,307,11.2 sec ,17.112
Peugeot,307,307,13.5 sec ,16.911
Peugeot,307,307,11 sec ,16.758
Peugeot,307,307,12.8 sec ,17.871
Peugeot,307,307,16.5 sec ,19.607
Peugeot,307,307,14.6 sec ,18.779
Porsche,Cayenne,Cayenne III,3.8 sec ,11.726
Porsche,Cayenne,Cayenne III,3.8 sec ,11.726
Porsche,Cayenne,Cayenne III,4.1 sec ,12.034
Porsche,Cayenne,Cayenne III,5.2 sec ,12.608
Porsche,Cayenne,Cayenne III,4.5-4.8 sec ,12.699
Porsche,Cayenne,Cayenne III,5 sec ,12.964
Porsche,Cayenne,Cayenne III,5 sec ,12.964
Porsche,Cayenne,Cayenne III,6.2 sec ,13.621
Porsche,911,911 Cabriolet (992),2.8 sec ,10.425
Porsche,911,911 Cabriolet (992),2.9 sec ,10.811
Porsche,911,911 Cabriolet (992),3.6 sec ,11.4
Porsche,911,911 Cabriolet (992),4.3 sec ,11.287
Porsche,911,911 Cabriolet (992),3.5 sec ,11.51
Porsche,911,911 Cabriolet (992),4.3 sec ,11.4
Porsche,911,911 Cabriolet (992),3.7 sec ,11.51
Porsche,911,911 Cabriolet (992),3.6 sec ,11.619
Porsche,911,911 Cabriolet (992),4.4 sec ,12.232
Porsche,911,911 Cabriolet (992),4.4 sec ,12.134
Porsche,911,911 Cabriolet (Type 930),5.4 sec ,not known
Peugeot,508,"508 I RXH (Phase I, 2011)",8.8 sec ,15.711
Porsche,Taycan,Taycan (Y1A),3.7 sec ,11.83
Porsche,Taycan,Taycan (Y1A),2.8 sec ,10.934
Porsche,Taycan,Taycan (Y1A),3.2 sec ,11.4
Porsche,Taycan,Taycan (Y1A),5.4 sec ,12.516
Porsche,Taycan,Taycan (Y1A),5.4 sec ,12.964
Porsche,Taycan,Taycan (Y1A),4 sec ,11.933
Porsche,Taycan,Taycan (Y1A),4 sec ,12.034
Pagani,Huayra,Huayra Roadster BC,8.867
Peugeot,Traveller,Traveller Compact,10.8 sec ,16.911
Peugeot,Traveller,Traveller Compact,13.4 sec ,18.272
Peugeot,Traveller,Traveller Compact,15.9 sec ,19.493
Peugeot,Traveller,Traveller Compact,15.9 sec ,19.378
Peugeot,3008,"3008 I (Phase I, 2009)",8.5 sec ,15.35
Peugeot,3008,"3008 I (Phase I, 2009)",10.2 sec ,16.0
Peugeot,3008,"3008 I (Phase I, 2009)",9.7 sec ,16.706
Peugeot,3008,"3008 I (Phase I, 2009)",11.8 sec ,17.5
Peugeot,3008,"3008 I (Phase I, 2009)",9.5 sec ,16.056
Peugeot,3008,"3008 I (Phase I, 2009)",16.224
Peugeot,3008,"3008 I (Phase I, 2009)",8.9 sec ,16.0
Peugeot,3008,"3008 I (Phase I, 2009)",12.6 sec ,17.688
Peugeot,3008,"3008 I (Phase I, 2009)",12.2 sec ,17.688
Peugeot,806,806 (221),15.8 sec ,18.821
Peugeot,806,806 (221),10.1 sec ,16.706
Peugeot,806,806 (221),15.8 sec ,18.821
Peugeot,806,806 (221),11.9 sec ,17.26
Peugeot,806,806 (221),11.9 sec ,17.26
Peugeot,806,806 (221),14.6 sec ,17.871
Peugeot,806,806 (221),17.2 sec ,19.493
Peugeot,806,806 (221),17.2 sec ,19.493
Peugeot,806,806 (221),15.5 sec ,19.942
Peugeot,806,806 (221),16.2 sec ,18.529
Peugeot,406,"406 Break (Phase I, 1996)",9.9 sec ,15.225
Peugeot,406,"406 Break (Phase I, 1996)",8.5 sec ,15.225
Peugeot,406,"406 Break (Phase I, 1996)",10.6 sec ,16.279
Peugeot,406,"406 Break (Phase I, 1996)",11.2 sec ,16.548
Peugeot,406,"406 Break (Phase I, 1996)",not known
Peugeot,406,"406 Break (Phase I, 1996)",not known
Peugeot,406,"406 Break (Phase I, 1996)",12.6 sec ,17.308
Peugeot,406,"406 Break (Phase I, 1996)",18.444
Porsche,924,924,9.6 sec ,15.769
Porsche,924,924,8.2 sec ,15.035
Porsche,924,924,8.5 sec ,15.099
Porsche,924,924,7.7 sec ,14.292
Porsche,924,924,14.571
Porsche,924,924,9.3 sec ,15.225
Porsche,924,924,13.463
Porsche,924,924,9.6 sec ,15.769
Porsche,924,924,13 sec ,16.495
Porsche,924,924,11.2 sec ,16.495
Peugeot,RCZ,RCZ (facelift 2013),5.9 sec ,12.699
Peugeot,RCZ,RCZ (facelift 2013),8.2 sec ,15.411
Peugeot,RCZ,RCZ (facelift 2013),7.6 sec ,14.148
Peugeot,RCZ,RCZ (facelift 2013),9 sec ,15.411
Peugeot,RCZ,RCZ (facelift 2013),8 sec ,15.288
Porsche,968,968 Cabrio,7.9 sec ,13.776
Porsche,968,968 Cabrio,6.5 sec ,13.776
Porsche,Panamera,Panamera (G1),4.2 sec ,11.933
Porsche,Panamera,Panamera (G1),5.4 sec ,12.516
Porsche,Panamera,Panamera (G1),5.6 sec ,12.423
Porsche,Panamera,Panamera (G1),6 sec ,13.134
Porsche,Panamera,Panamera (G1),5 sec ,12.699
Porsche,Panamera,Panamera (G1),5.9-6.1 sec ,13.852
Porsche,Panamera,Panamera (G1),6.1-6.3 sec ,13.699
Porsche,Panamera,Panamera (G1),6.8 sec ,13.621
Porsche,Panamera,Panamera (G1),6.8 sec ,14.84
Porsche,356,356 Coupe,16.809
Porsche,356,356 Coupe,14.6 sec ,18.228
Porsche,356,356 Coupe,19.645
Porsche,356,356 Coupe,20.087
Peugeot,207,207,7.1 sec ,14.639
Peugeot,207,207,8.1 sec ,15.472
Peugeot,207,207,11.4 sec ,16.809
Peugeot,207,207,9.6 sec ,16.653
Peugeot,207,207,10.6 sec ,16.86
Peugeot,207,207,10.1 sec ,17.012
Peugeot,207,207,11.5 sec ,18.487
Peugeot,207,207,11.8 sec ,17.5
Peugeot,207,207,12.7 sec ,17.734
Peugeot,207,207,12.7 sec ,17.734
Peugeot,207,207,15.6 sec ,18.779
